Name,Platform,Year,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Total_Sales
.hack: Sekai no Mukou ni + Versus,PS3,2012,Action,Namco Bandai Games,0,0,0.03,0,0.03
[Prototype 2],X360,2012,Action,Activision,0.48,0.25,0,0.07,0.8
[Prototype 2],PS3,2012,Action,Activision,0.36,0.28,0,0.11,0.75
[Prototype 2],PC,2012,Action,Activision,0.07,0.02,0,0.01,0.1
50 Classic Games,3DS,2012,Misc,Avanquest Software,0,0.02,0,0,0.02
Abunai: Koi no Sousa Shitsu,PSP,2012,Action,Quinrose,0,0,0.01,0,0.01
Accel World: Ginyoku no Kakusei,PS3,2012,Adventure,Namco Bandai Games,0,0,0.03,0,0.03
Accel World: Ginyoku no Kakusei,PSP,2012,Adventure,Namco Bandai Games,0,0,0.03,0,0.03
Aikatsu! Cinderella Lesson,3DS,2012,Role-Playing,Namco Bandai Games,0,0,0.2,0,0.2
Ailu de Puzzle,PSP,2012,Action,Capcom,0,0,0.04,0,0.04
Akatsuki no Goei Trinity,PSP,2012,Adventure,5pb,0,0,0.01,0,0.01
Akatsuki no Goei Trinity,PS3,2012,Adventure,5pb,0,0,0.01,0,0.01
AKB1/149: Love Election,PSP,2012,Adventure,Namco Bandai Games,0,0,0.23,0,0.23
AKB1/149: Love Election,PSV,2012,Adventure,Namco Bandai Games,0,0,0.07,0,0.07
AKB48+Me,3DS,2012,Action,N/A,0,0,0.11,0,0.11
Akiba's Trip Plus,PSP,2012,Adventure,Acquire,0,0,0.08,0,0.08
Alan Wake,PC,2012,Action,Nordic Games,0,0.06,0,0.01,0.07
All Kamen Rider: Rider Generation 2,DS,2012,Action,Namco Bandai Games,0,0,0.1,0,0.1
All Kamen Rider: Rider Generation 2,PSP,2012,Action,Namco Bandai Games,0,0,0.06,0,0.06
Amnesia Later,PSP,2012,Misc,Idea Factory,0,0,0.05,0,0.05
Anarchy Reigns,PS3,2012,Action,Sega,0.1,0.03,0.06,0.02,0.21
Anarchy Reigns,X360,2012,Action,Sega,0.11,0.02,0.02,0.01,0.16
