header,panel
Mobile,Separate Desktop page with separate mobile and/or AMP
Mobile,Separate Desktop page with AMP page as AMP and Mobile
Mobile,Separate Desktop with different H1
Mobile,Separate Desktop with different title
Mobile,Separate Desktop with different wordcount
Mobile,Separate Desktop with different links in
Mobile,Separate Desktop with different links out
Mobile,Separate Desktop which links to a mobile page not on the mobile subdomain
Mobile,Separate Desktop with mobile and AMP which self canonicalises
Mobile,Separate Mobile page not on the mobile subdomain
Mobile,A dynamically served page
Mobile,A responsive page
Mobile,No mobile configuration
Mobile,Other desktop page linking to the same mobile pages as other desktop
Mobile,An AMP page which also has a dedicated mobile page
Mobile,Responsive with AMP
Mobile,AMP for responsive Page
Mobile,No mobile configuration with AMP
Mobile,AMP for no mobile configuration
Mobile,"An AMP page with no canonical (or self-ref, and no inbound AMP links"
Mobile,AMP page as mobile self-referential
Mobile,AMP page which self canonicalises
Mobile,Separate Desktop with Meta Irregular Media Pixel Size
Mobile,Separate Desktop with Response Header Alt
Description Tags,Separate Desktop page with separate mobile and/or AMP
Description Tags,Separate Desktop page with AMP page as AMP and Mobile
Description Tags,Separate Desktop with different H1
Description Tags,Separate Desktop with different title
Description Tags,Separate Desktop with different wordcount
Description Tags,Separate Desktop with different links in
Description Tags,Separate Desktop with different links out
Description Tags,Separate Desktop which links to a mobile page not on the mobile subdomain
Description Tags,Separate Desktop with mobile and AMP which self canonicalises
Description Tags,Separate Mobile page not on the mobile subdomain
Description Tags,A dynamically served page
Description Tags,A responsive page
Description Tags,No mobile configuration
Description Tags,Other desktop page linking to the same mobile pages as other desktop
Description Tags,An AMP page which also has a dedicated mobile page
Description Tags,Responsive with AMP
Description Tags,AMP for responsive Page
Description Tags,No mobile configuration with AMP
Description Tags,AMP for no mobile configuration
Description Tags,"An AMP page with no canonical (or self-ref, and no inbound AMP links"
Description Tags,AMP page as mobile self-referential
Description Tags,AMP page which self canonicalises
Description Tags,Separate Desktop with Meta Irregular Media Pixel Size
Description Tags,Separate Desktop with Response Header Alt
Encoding,Separate Desktop page with separate mobile and/or AMP
Encoding,Separate Desktop page with AMP page as AMP and Mobile
Encoding,Separate Desktop with different H1
Encoding,Separate Desktop with different title
Encoding,Separate Desktop with different wordcount
Encoding,Separate Desktop with different links in
Encoding,Separate Desktop with different links out
Encoding,Separate Desktop which links to a mobile page not on the mobile subdomain
Encoding,Separate Desktop with mobile and AMP which self canonicalises
Encoding,Separate Mobile page not on the mobile subdomain
Encoding,A dynamically served page
Encoding,A responsive page
Encoding,No mobile configuration
Encoding,Other desktop page linking to the same mobile pages as other desktop
Encoding,An AMP page which also has a dedicated mobile page
Encoding,Responsive with AMP
Encoding,AMP for responsive Page
Encoding,No mobile configuration with AMP
Encoding,AMP for no mobile configuration
Encoding,"An AMP page with no canonical (or self-ref, and no inbound AMP links"
Encoding,AMP page as mobile self-referential
Encoding,AMP page which self canonicalises
Encoding,Separate Desktop with Meta Irregular Media Pixel Size
Encoding,Separate Desktop with Response Header Alt
Titles,Separate Desktop page with separate mobile and/or AMP
Titles,Separate Desktop page with AMP page as AMP and Mobile
Titles,Separate Desktop with different H1
Titles,Separate Desktop with different title
Titles,Separate Desktop with different wordcount
Titles,Separate Desktop with different links in
Titles,Separate Desktop with different links out
Titles,Separate Desktop which links to a mobile page not on the mobile subdomain
Titles,Separate Desktop with mobile and AMP which self canonicalises
Titles,Separate Mobile page not on the mobile subdomain
Titles,A dynamically served page
Titles,A responsive page
Titles,No mobile configuration
Titles,Other desktop page linking to the same mobile pages as other desktop
Titles,An AMP page which also has a dedicated mobile page
Titles,Responsive with AMP
Titles,AMP for responsive Page
Titles,No mobile configuration with AMP
Titles,AMP for no mobile configuration
Titles,"An AMP page with no canonical (or self-ref, and no inbound AMP links"
Titles,AMP page as mobile self-referential
Titles,AMP page which self canonicalises
Titles,Separate Desktop with Meta Irregular Media Pixel Size
Titles,Separate Desktop with Response Header Alt
Robots Protocol,Separate Desktop page with separate mobile and/or AMP
Robots Protocol,Separate Desktop page with AMP page as AMP and Mobile
Robots Protocol,Separate Desktop with different H1
Robots Protocol,Separate Desktop with different title
Robots Protocol,Separate Desktop with different wordcount
Robots Protocol,Separate Desktop with different links in
Robots Protocol,Separate Desktop with different links out
Robots Protocol,Separate Desktop which links to a mobile page not on the mobile subdomain
Robots Protocol,Separate Desktop with mobile and AMP which self canonicalises
Robots Protocol,Separate Mobile page not on the mobile subdomain
Robots Protocol,A dynamically served page
Robots Protocol,A responsive page
Robots Protocol,No mobile configuration
Robots Protocol,Other desktop page linking to the same mobile pages as other desktop
Robots Protocol,An AMP page which also has a dedicated mobile page
Robots Protocol,Responsive with AMP
Robots Protocol,AMP for responsive Page
Robots Protocol,No mobile configuration with AMP
Robots Protocol,AMP for no mobile configuration
Robots Protocol,"An AMP page with no canonical (or self-ref, and no inbound AMP links"
Robots Protocol,AMP page as mobile self-referential
Robots Protocol,AMP page which self canonicalises
Robots Protocol,Separate Desktop with Meta Irregular Media Pixel Size
Robots Protocol,Separate Desktop with Response Header Alt
Redirects,Separate Desktop page with separate mobile and/or AMP
Redirects,Separate Desktop page with AMP page as AMP and Mobile
Redirects,Separate Desktop with different H1
Redirects,Separate Desktop with different title
Redirects,Separate Desktop with different wordcount
Redirects,Separate Desktop with different links in
Redirects,Separate Desktop with different links out
Redirects,Separate Desktop which links to a mobile page not on the mobile subdomain
Redirects,Separate Desktop with mobile and AMP which self canonicalises
Redirects,Separate Mobile page not on the mobile subdomain
Redirects,A dynamically served page
Redirects,A responsive page
Redirects,No mobile configuration
Redirects,Other desktop page linking to the same mobile pages as other desktop
Redirects,An AMP page which also has a dedicated mobile page
Redirects,Responsive with AMP
Redirects,AMP for responsive Page
Redirects,No mobile configuration with AMP
Redirects,AMP for no mobile configuration
Redirects,"An AMP page with no canonical (or self-ref, and no inbound AMP links"
Redirects,AMP page as mobile self-referential
Redirects,AMP page which self canonicalises
Redirects,Separate Desktop with Meta Irregular Media Pixel Size
Redirects,Separate Desktop with Response Header Alt
Links,Separate Desktop page with separate mobile and/or AMP
